Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
10/126,2010-10-28,8,9,17,31,36,47,46,8,,4,2,2,1,0,2,1,2,7265175,3,548705,141,31130,261,4800,6208,320,7676,160,115607,20,34887281
10/125,2010-10-26,3,8,14,20,33,41,32,"33,41",,3,3,2,2,0,1,1,0,0,4,382665,111,36770,223,4800,4926,320,6870,160,96478,20,31276404
10/124,2010-10-23,1,28,33,41,42,45,8,,,4,2,1,0,1,1,3,0,0,1,992665,57,46440,201,4800,3277,320,6076,160,64228,20,21378467
10/123,2010-10-21,4,9,23,35,46,49,18,,,4,2,2,0,1,1,2,1,19769515,1,1921725,107,47890,288,4800,6591,320,8909,160,126262,20,39853236
10/122,2010-10-19,2,20,29,38,39,43,37,29,,3,3,1,1,1,2,1,0,0,1,1739510,105,44175,274,4800,5650,320,7409,160,103840,20,35424615
10/121,2010-10-16,1,29,30,44,45,49,41,,,4,2,1,0,2,0,3,0,0,3,420645,70,48070,171,4800,3695,320,5214,160,73527,20,25098042
10/120,2010-10-14,4,7,10,26,42,47,13,,,2,4,3,0,1,0,2,0,0,3,366325,77,38060,197,4800,4460,320,5386,160,84119,20,24014976
10/119,2010-10-12,9,13,21,24,38,46,27,,,3,3,1,1,2,1,1,1,5236415,4,318090,92,36880,268,4800,4767,320,6806,160,89296,20,27792821
10/118,2010-10-09,22,37,41,42,44,45,27,22,,3,3,0,0,1,1,4,1,9257920,0,0,90,42050,187,4800,5104,320,5130,160,79782,20,28417243
10/117,2010-10-07,14,15,21,22,32,40,2,,,2,4,0,2,2,2,0,0,0,2,542640,85,34290,234,4800,4419,320,7034,160,82946,20,24578756
10/116,2010-10-05,5,6,8,16,29,31,12,16,5,3,3,3,1,1,1,0,1,22563575,6,308685,229,21565,856,4800,12699,320,20032,160,215151,20,54165390
10/115,2010-10-02,7,16,17,21,27,36,6,21,,4,2,1,2,2,1,0,0,0,6,220630,142,24855,597,4800,8069,320,12155,160,129395,20,36441544
10/114,2010-09-30,9,18,21,22,26,29,27,,,3,3,1,1,4,0,0,0,0,11,102055,224,13360,687,4800,10061,320,13178,160,148707,20,36715118
10/113,2010-09-28,7,30,31,42,45,49,46,30,,4,2,1,0,1,1,3,0,0,3,518640,100,41490,336,4800,5201,320,8290,160,96408,20,33204565
10/112,2010-09-25,16,23,30,37,39,43,5,23,,4,2,0,1,2,2,1,0,0,2,664405,75,47245,238,4800,4744,320,6755,160,82599,20,28014994
10/111,2010-09-21,10,13,23,35,36,48,47,,,3,3,1,1,1,2,1,1,31023870,3,1224870,242,40490,595,4800,14120,320,15450,160,252812,20,77449805
10/110,2010-09-19,12,17,19,26,33,40,25,,19,3,3,0,3,1,2,0,0,0,1,1124290,155,19415,234,4800,4274,320,6138,160,79580,20,24631768
10/109,2010-09-16,5,8,31,46,47,49,34,,,4,2,2,0,0,1,3,2,20675100,1,2897790,310,31155,594,4800,13924,320,16517,160,252483,20,76918176
10/108,2010-09-14,3,4,7,22,30,39,6,39,,3,3,3,0,2,1,0,0,0,7,393790,206,35680,624,4800,12189,320,20121,160,219676,20,64263302
10/107,2010-09-11,10,20,24,35,36,39,12,,,2,4,1,1,1,3,0,0,0,1,2034955,108,50245,348,4800,7166,320,10961,160,131617,20,43069901
10/106,2010-09-09,2,4,19,34,37,41,5,2,,3,3,2,1,0,2,1,0,0,1,1858760,65,76255,247,4800,5256,320,7835,160,104030,20,36701524
10/105,2010-09-07,2,3,16,42,43,45,27,"43,45",,3,3,2,1,0,0,3,0,0,1,1602730,109,39210,203,4800,5014,320,6135,160,93108,20,31785835
10/104,2010-09-04,17,19,25,34,43,45,47,,,5,1,0,2,1,1,2,0,0,1,1158240,76,40640,163,4800,3521,320,4502,160,62715,20,22905735
10/103,2010-09-02,3,7,11,20,23,48,38,,,4,2,2,2,1,0,1,1,13333350,5,326565,193,22560,383,4800,8633,320,10379,160,144633,20,39104569
10/102,2010-08-30,6,16,39,40,46,49,41,"6,49",,2,4,1,1,0,2,2,0,0,1,1144940,76,40170,175,4800,3795,320,4921,160,67950,20,23312235
10/101,2010-08-28,1,3,6,7,36,49,42,"1,7,36",,4,2,4,0,0,1,1,0,0,1,752930,146,13805,245,4800,7967,320,5460,160,112947,20,22914916
10/100,2010-08-26,1,7,9,10,36,44,37,9,,3,3,4,0,0,1,1,1,22008965,8,222170,257,18440,448,4800,13864,320,11809,160,216022,20,47810452
10/099,2010-08-24,6,9,11,16,25,37,45,37,,4,2,2,2,1,1,0,0,0,7,259765,161,30115,353,4800,8431,320,8733,160,151760,20,41011751
10/098,2010-08-21,18,21,34,37,40,49,28,,21,3,3,0,1,1,3,1,0,0,0,0,64,64805,187,4800,4072,320,5812,160,79069,20,29827938
10/097,2010-08-19,8,12,30,43,46,48,35,8,,1,5,1,1,1,0,3,0,0,5,235065,107,29290,218,4800,5105,320,6469,160,84884,20,25969095
10/096,2010-08-17,2,5,8,22,25,35,16,,,3,3,3,0,2,1,0,4,1288400,9,19200,715,9600,586,4800,13876,320,12603,160,163778,20,34482760
10/095,2010-08-14,6,12,17,34,38,46,43,"6,17",,1,5,1,2,0,2,1,0,0,3,428905,57,60195,139,4800,3583,320,4613,160,70674,20,24799649
10/094,2010-08-12,6,17,29,33,42,48,34,,,3,3,1,1,1,1,2,1,24625810,4,600040,265,24150,412,4800,10679,320,11256,160,178860,20,52512588
10/093,2010-08-10,5,8,12,20,30,39,23,,,2,4,2,2,1,1,0,0,0,5,376260,191,26265,515,4800,9777,320,13056,160,171141,20,46101536
10/092,2010-08-07,3,18,34,41,45,46,37,46,,3,3,1,1,0,1,3,0,0,0,0,78,57960,194,4800,4026,320,5417,160,82502,20,31770955
10/091,2010-08-05,8,30,42,46,48,49,7,,,1,5,1,0,1,0,4,0,0,1,1223680,69,47290,180,4800,4487,320,5814,160,75703,20,25386746
10/090,2010-08-03,9,17,26,31,35,36,42,35,,4,2,1,1,1,3,0,1,34111400,5,631260,256,32875,607,4800,12746,320,16375,160,231567,20,69197703
10/089,2010-07-31,12,28,29,33,35,37,22,12,,4,2,0,1,2,3,0,0,0,2,1153335,135,45560,414,4800,8058,320,11940,160,148738,20,48795208
10/088,2010-07-29,12,13,38,41,44,49,22,,,3,3,0,2,0,1,3,0,0,0,0,91,56945,252,4800,5177,320,7624,160,104951,20,37818128
10/087,2010-07-27,4,17,23,28,43,46,22,,,3,3,1,1,2,0,2,0,0,2,824865,122,36055,227,4800,5882,320,7576,160,107163,20,34098859
10/086,2010-07-24,6,15,22,25,33,42,24,,,3,3,1,1,2,1,1,0,0,22,46395,142,19165,1058,4800,6780,320,10375,160,120846,20,34620619
10/085,2010-07-20,5,13,26,29,40,47,42,40,,4,2,1,1,2,1,1,4,7669590,2,1334795,222,40080,583,4800,11140,320,15139,160,204292,20,69107318
10/084,2010-07-17,7,12,30,34,40,48,33,,,1,5,1,1,1,2,1,0,0,1,1727915,99,46540,213,4800,5073,320,7422,160,99645,20,34231600
10/083,2010-07-15,2,10,16,18,41,44,31,2,,1,5,2,2,0,0,2,0,0,1,1641385,78,56115,192,4800,4057,320,5656,160,85858,20,31235149
10/082,2010-07-13,2,3,5,25,43,48,24,"2,25",,4,2,3,0,1,0,2,0,0,3,434900,81,42950,194,4800,4728,320,6614,160,94745,20,27695400
10/081,2010-07-10,2,22,25,27,35,42,13,,,3,3,1,0,3,1,1,2,4610435,5,281390,138,27305,252,4800,5422,320,7575,160,97395,20,30392817
10/080,2010-07-08,4,16,40,43,46,47,27,46,,2,4,1,1,0,1,3,0,0,2,660590,85,41445,226,4800,3487,320,4859,160,66022,20,25884380
10/079,2010-07-06,14,17,21,29,42,46,49,"14,21",,3,3,0,2,2,0,2,1,17397970,1,2223350,127,46680,234,4800,5841,320,7663,160,113687,20,42185959
10/078,2010-07-03,2,13,14,21,45,49,19,21,,4,2,1,2,1,0,2,0,0,1,1909305,100,50910,225,4800,5108,320,7177,160,103601,20,36893441
10/077,2010-06-29,8,11,21,38,41,48,49,"21,41",,3,3,1,1,1,1,2,0,0,5,225810,106,28400,350,4800,5371,320,9537,160,102455,20,28232086
10/076,2010-06-26,7,13,15,20,21,41,2,,,5,1,1,3,1,0,1,1,16721705,1,1749675,108,43200,299,4800,6961,320,8796,160,117437,20,37475683
10/075,2010-06-24,5,23,26,31,34,49,24,,,4,2,1,0,2,2,1,0,0,0,0,70,61640,214,4800,4547,320,7534,160,91750,20,32180260
10/074,2010-06-22,2,4,9,20,35,40,44,"2,35",,2,4,3,1,0,2,0,0,0,2,703110,85,44115,197,4800,5169,320,5282,160,98548,20,29106820
10/073,2010-06-19,2,8,12,13,27,35,37,,,3,3,2,2,1,1,0,1,14391610,6,259010,170,24375,371,4800,8800,320,9174,160,149086,20,37836032
10/072,2010-06-17,5,11,15,42,45,48,14,5,,4,2,1,2,0,0,3,0,0,2,788230,91,46195,209,4800,4902,320,6354,160,94826,20,31544795
10/071,2010-06-15,5,10,18,21,35,49,11,21,,4,2,2,1,1,1,1,0,0,2,654450,75,46535,254,4800,4424,320,7403,160,84733,20,27968662
10/070,2010-06-13,2,11,19,20,21,40,43,,,3,3,1,3,1,1,0,1,5000000,1,1339710,158,22610,200,4800,5827,320,5260,160,98098,20,28598276
10/069,2010-06-10,8,26,32,35,36,49,24,8,,2,4,1,0,1,3,1,1,40085640,10,373910,216,46160,738,4800,12934,320,19398,160,250422,20,79972849
10/068,2010-06-08,7,8,12,21,23,47,10,,8,4,2,2,1,2,0,1,0,0,11,268735,333,23670,1192,4800,18494,320,28082,160,317291,20,81731437
10/067,2010-06-05,9,15,30,37,38,40,1,,,3,3,1,1,1,3,0,2,29186880,12,404520,371,34890,1153,4800,19978,320,28743,160,361273,20,109840852
10/066,2010-06-03,5,16,19,26,42,44,6,,,2,4,1,2,1,0,2,0,0,6,688400,235,46865,752,4800,12961,320,22635,160,249744,20,86357629
10/065,2010-06-01,7,11,13,24,28,46,26,,,3,3,1,2,2,0,1,0,0,8,376615,230,34930,715,4800,14267,320,19238,160,252927,20,70753536
10/064,2010-05-29,4,16,25,26,33,42,30,33,,2,4,1,1,2,1,1,0,0,3,766160,143,42860,349,4800,7909,320,9573,160,147281,20,47263141
10/063,2010-05-27,9,22,28,32,33,49,18,,,3,3,1,0,2,2,1,0,0,3,556200,129,34490,451,4800,8643,320,12429,160,151683,20,41072509
10/062,2010-05-25,14,18,30,40,43,46,27,18,,1,5,0,2,1,1,2,0,0,1,1826515,72,67645,272,4800,4592,320,6626,160,90238,20,35224501
10/061,2010-05-22,12,17,18,26,29,33,41,,,3,3,0,3,2,1,0,0,0,2,555700,84,35280,170,4800,4569,320,4750,160,82729,20,23768326
10/060,2010-05-20,4,10,11,15,22,37,49,4,,3,3,2,2,1,1,0,2,19817155,10,335605,291,30750,504,4800,14858,320,15327,160,264384,20,73148922
10/059,2010-05-18,4,7,12,20,39,48,14,39,,2,4,2,2,0,1,1,0,0,8,398585,179,47500,577,4800,11032,320,17540,160,211300,20,67949731
10/058,2010-05-15,1,29,32,39,44,47,17,39,,4,2,1,0,1,2,2,1,18138150,1,1987750,98,54085,257,4800,4900,320,8083,160,97137,20,38147963
10/057,2010-05-13,16,22,31,37,39,49,32,,,4,2,0,1,1,3,1,0,0,1,1717335,99,46255,252,4800,5110,320,7563,160,102362,20,34598822
10/056,2010-05-11,15,26,29,34,35,40,9,34,,3,3,0,1,2,3,0,0,0,0,0,69,54985,197,4800,3870,320,6702,160,76362,20,28161898
10/055,2010-05-09,1,5,8,21,27,34,20,,,4,2,3,0,2,1,0,1,8994495,0,0,153,23205,309,4800,7357,320,8930,160,127036,20,32519578
10/054,2010-05-06,2,31,37,38,39,40,44,40,,3,3,1,0,0,5,0,0,0,2,654125,133,26230,153,4800,5006,320,4305,160,77510,20,26221422
10/053,2010-05-04,19,24,34,40,41,46,15,41,,2,4,0,1,1,2,2,1,15935960,1,2099470,96,58315,206,4800,5124,320,6819,160,100025,20,39075626
10/052,2010-05-02,7,16,26,28,41,44,24,"7,26,41",,2,4,1,1,2,0,2,0,0,1,1545845,91,45295,235,4800,4477,320,8870,160,89187,20,31645273
10/051,2010-04-29,5,7,24,26,41,49,3,,,4,2,2,0,2,0,2,0,0,2,631085,63,53425,168,4800,3541,320,5886,160,73882,20,25195454
10/050,2010-04-27,3,13,18,21,22,33,8,,,4,2,1,2,2,1,0,2,2500000,14,61095,201,11370,950,4800,8290,320,15638,160,119511,20,29009976
10/049,2010-04-24,5,12,16,23,29,39,11,"16,23,29,39",,4,2,1,2,2,1,0,1,8894105,3,432675,102,33935,325,4800,6344,320,9357,160,101555,20,30791727
10/048,2010-04-22,1,16,23,29,39,46,17,,,4,2,1,1,2,1,1,0,0,1,1337115,57,62555,143,4800,3823,320,4799,160,74534,20,25859157
10/047,2010-04-20,6,17,25,27,35,40,32,,,4,2,1,1,2,2,0,2,15219685,3,1159930,219,42370,499,4800,11833,320,15094,160,225959,20,71497707
10/046,2010-04-17,1,2,24,38,42,49,19,,,2,4,2,0,1,1,2,0,0,2,735200,81,48405,237,4800,4866,320,6173,160,91674,20,30163181
10/045,2010-04-15,19,21,30,35,36,37,33,37,,4,2,0,1,2,3,0,0,0,4,293875,71,44150,347,4800,4148,320,6852,160,77597,20,26392868
10/044,2010-04-13,31,32,33,37,42,46,17,,,3,3,0,0,0,4,2,2,5199965,1,1349980,124,36285,253,4800,5884,320,7081,160,103142,20,34547453
10/043,2010-04-11,2,7,20,36,38,41,40,,,2,4,2,1,0,2,1,0,0,2,701940,84,44565,205,4800,4450,320,5897,160,85746,20,28428393
10/042,2010-04-08,3,5,25,30,33,37,35,25,,5,1,2,0,2,2,0,1,25238935,5,495090,200,33005,566,4800,9300,320,13299,160,173616,20,54496820
10/041,2010-04-06,11,20,25,35,42,45,8,"11,35",,4,2,0,2,1,1,2,0,0,6,356430,126,45260,316,4800,6877,320,9711,160,125194,20,43412049
10/040,2010-04-03,11,23,35,37,40,43,30,"23,43",,5,1,0,1,1,3,1,0,0,0,0,57,74815,168,4800,3970,320,5641,160,78717,20,30128397
10/039,2010-04-01,20,21,23,31,42,43,41,31,,4,2,0,1,2,1,2,0,0,7,175765,113,29035,381,4800,4539,320,7199,160,81171,20,27907970
10/038,2010-03-30,2,22,29,31,40,48,20,22,,2,4,1,0,2,2,1,1,33012280,1,4337425,234,49425,586,4800,13308,320,17955,160,258204,20,86822603
10/037,2010-03-27,1,3,8,22,36,44,29,44,,2,4,3,0,1,1,1,0,0,4,325480,134,25905,380,4800,7511,320,8376,160,130141,20,32791733
10/036,2010-03-25,14,16,29,44,45,47,42,,,3,3,0,2,1,0,3,0,0,1,1463765,44,88710,142,4800,3498,320,4767,160,69932,20,27196108
10/035,2010-03-23,7,11,22,27,32,46,17,,,3,3,1,1,2,1,1,5,13161965,37,159090,723,21710,1995,4800,33552,320,46857,160,553318,20,151852842
10/034,2010-03-20,8,12,29,33,39,45,36,39,,4,2,1,1,1,2,1,0,0,4,1053980,270,41635,732,4800,14626,320,21477,160,277463,20,89010274
10/033,2010-03-18,4,19,30,37,39,41,31,"4,37",,4,2,1,1,1,2,1,0,0,3,1213435,157,61830,436,4800,9318,320,13873,160,186172,20,69789983
10/032,2010-03-16,4,16,28,37,38,47,30,4,16,2,4,1,1,1,2,1,0,0,5,538805,204,35215,383,4800,10957,320,11319,160,199929,20,57205179
10/031,2010-03-13,1,4,14,18,22,39,48,14,,2,4,2,2,1,1,0,0,0,2,983340,128,40970,354,4800,8039,320,8757,160,150421,20,42757647
10/030,2010-03-11,10,14,35,40,43,48,21,14,,2,4,1,1,0,2,2,0,0,4,466620,85,58555,269,4800,4629,320,6630,160,91837,20,35822473
10/029,2010-03-09,9,13,14,17,28,45,20,28,9,4,2,1,3,1,0,1,0,0,2,598460,93,34320,263,4800,5282,320,6147,160,102462,20,27325933
10/028,2010-03-07,3,12,26,28,31,46,16,,,2,4,1,1,2,1,1,1,33237010,9,366565,292,30125,722,4800,14470,320,19423,160,257441,20,75040047
10/027,2010-03-04,10,11,24,33,34,38,16,10,,2,4,1,1,1,3,0,0,0,10,256700,172,39795,482,4800,10462,320,12735,160,197604,20,56402010
10/026,2010-03-02,1,6,10,21,28,35,46,,,3,3,3,0,2,1,0,0,0,7,291475,237,22955,361,4800,11826,320,10783,160,200931,20,48534300
10/025,2010-02-27,16,17,18,22,25,36,47,,,2,4,0,3,2,1,0,0,0,2,752935,122,32915,218,4800,6920,320,6238,160,118337,20,32699329
10/024,2010-02-25,11,20,31,37,44,47,46,44,,4,2,0,2,0,2,2,0,0,4,382635,70,58305,159,4800,3527,320,4693,160,70608,20,28273443
10/023,2010-02-23,8,19,43,44,48,49,46,,,3,3,1,1,0,0,4,1,23075320,5,541875,196,36860,725,4800,9888,320,14371,160,182042,20,60061602
10/022,2010-02-20,3,4,11,15,32,45,1,"4,11,32",,4,2,2,2,0,1,1,0,0,0,0,82,53940,387,4800,6400,320,11293,160,116382,20,37392609
10/021,2010-02-18,4,5,7,11,28,32,3,7,,3,3,3,1,1,1,0,0,0,4,276025,264,11160,740,4800,10667,320,17136,160,155972,20,37447445
10/020,2010-02-15,1,7,17,20,29,49,19,29,,5,1,2,2,1,0,1,0,0,2,451880,80,30125,265,4800,4234,320,7853,160,76305,20,22278489
10/019,2010-02-13,5,21,26,27,28,29,44,"21,27",,4,2,1,0,5,0,0,1,5000000,0,0,150,20345,185,4800,6735,320,4872,160,98834,20,26204440
10/018,2010-02-11,21,24,27,32,35,36,16,,,3,3,0,0,3,3,0,1,5000000,4,337040,93,38655,220,4800,4609,320,6218,160,84150,20,27936326
10/017,2010-02-09,4,8,10,13,14,49,7,13,,2,4,3,2,0,0,1,1,38609565,11,382105,417,26875,1186,4800,19975,320,31762,160,346992,20,101668618
10/016,2010-02-06,1,5,13,16,24,41,14,,,4,2,2,2,1,0,1,0,0,1,1207970,91,35395,216,4800,4515,320,6495,160,87526,20,26149782
10/015,2010-02-04,9,20,25,36,42,47,13,,,3,3,1,1,1,1,2,1,10438295,5,325515,168,25830,269,4800,7950,320,7540,160,122929,20,35970379
10/014,2010-02-02,1,10,13,14,38,39,41,,,3,3,2,2,0,2,0,0,0,3,484075,112,34575,228,4800,6184,320,6989,160,111947,20,31610376
10/013,2010-01-30,2,4,6,30,32,34,40,32,30,0,6,3,0,1,2,0,2,2500000,0,0,106,30155,180,4800,4479,320,5009,160,85763,20,25179240
10/012,2010-01-28,3,9,15,32,43,46,28,9,,4,2,2,1,0,1,2,1,15859435,5,415130,110,50315,345,4800,6685,320,10317,160,132686,20,43159386
10/011,2010-01-26,8,9,17,31,37,38,2,,,4,2,2,1,0,3,0,0,0,2,772075,153,26910,355,4800,7683,320,9976,160,132959,20,36537694
10/010,2010-01-23,18,19,26,34,39,46,2,,,2,4,0,2,1,2,1,0,0,1,1301665,60,57850,174,4800,3669,320,4730,160,69934,20,25371963
10/009,2010-01-21,6,7,17,24,41,48,16,"24,41",,3,3,2,1,1,0,2,2,12523770,2,1339080,156,45780,453,4800,8854,320,13053,160,174715,20,55945818
10/008,2010-01-19,2,3,9,24,33,41,40,,,4,2,3,0,1,1,1,0,0,5,403990,160,33665,386,4800,8260,320,10231,160,165225,20,44880911
10/007,2010-01-17,5,18,19,28,35,45,27,35,,4,2,1,2,1,1,1,0,0,2,760575,132,30730,373,4800,7389,320,10038,160,128391,20,36060558
10/006,2010-01-14,21,26,27,35,38,48,41,48,,3,3,0,0,3,2,1,0,0,0,0,80,46320,160,4800,3859,320,4778,160,78880,20,26900313
10/005,2010-01-12,9,23,25,29,30,48,1,,,4,2,1,0,4,0,1,1,23594340,4,614165,180,36395,546,4800,10116,320,15896,160,182214,20,55635198
10/004,2010-01-09,4,8,16,39,40,45,10,"16,45",,2,4,2,1,0,2,1,0,0,3,650010,110,47270,301,4800,5939,320,9230,160,113660,20,39594809
10/003,2010-01-07,5,14,16,25,45,48,42,"5,14,16",,3,3,1,2,1,0,2,0,0,1,1791400,96,49760,210,4800,5299,320,6312,160,101799,20,34950858
10/002,2010-01-05,5,14,16,22,26,28,27,"16,22",5,1,5,1,2,3,0,0,0,0,5,251160,118,28520,297,4800,5829,320,8814,160,102474,20,29541793
10/001,2010-01-02,11,13,16,18,21,22,6,,,3,3,0,4,2,0,0,4,3629600,6,225535,240,15035,561,4800,9257,320,12887,160,142101,20,37912596
09/154,2009-12-31,26,28,31,33,40,41,19,"33,40",31,3,3,0,0,2,3,1,0,0,3,606525,103,47105,256,4800,5902,320,7320,160,108397,20,36642181
09/153,2009-12-29,9,27,33,38,39,40,14,27,,4,2,1,0,1,4,0,0,0,2,626905,117,28575,279,4800,5838,320,6999,160,98280,20,28663382
09/152,2009-12-26,6,17,21,27,36,42,23,27,,3,3,1,1,2,1,1,1,5000000,1,1051600,86,32605,174,4800,3996,320,5300,160,74477,20,22510037
09/151,2009-12-24,20,22,26,27,31,44,49,44,,2,4,0,1,3,1,1,1,44681575,2,2338490,232,53755,606,4800,14036,320,17053,160,271118,20,92249753
09/150,2009-12-22,6,23,30,33,43,44,10,,,3,3,1,0,2,1,2,0,0,10,355020,266,35590,799,4800,15866,320,19923,160,261039,20,80240130
09/149,2009-12-20,2,4,24,28,32,45,38,"2,4",,1,5,2,0,2,1,1,0,0,1,1450420,106,36485,343,4800,6178,320,9385,160,110349,20,33255236
09/148,2009-12-17,2,4,30,37,43,49,10,,,3,3,2,0,1,1,2,0,0,0,0,51,71495,137,4800,2676,320,4837,160,58958,20,24971908
09/147,2009-12-15,10,27,28,40,46,47,18,"40,46",,2,4,1,0,2,1,2,1,22783415,1,2528130,125,53930,346,4800,7337,320,10716,160,140850,20,50113669
09/146,2009-12-12,8,9,37,40,46,49,41,"8,49",,3,3,2,0,0,2,2,0,0,1,1842730,88,55840,218,4800,4546,320,6485,160,96353,20,35121571
09/145,2009-12-10,4,8,15,16,34,49,45,,,2,4,2,2,0,1,1,0,0,1,1556940,99,41935,218,4800,6263,320,6483,160,101988,20,32470186
09/144,2009-12-08,6,12,23,29,31,35,21,"23,35",,4,2,1,1,2,2,0,0,0,1,1204545,143,22460,309,4800,5718,320,7429,160,99760,20,28370956
09/143,2009-12-05,1,14,17,23,35,38,31,,,4,2,1,2,1,2,0,1,9313755,1,1437915,111,34540,228,4800,5602,320,6668,160,106633,20,30779516
09/142,2009-12-03,10,15,20,21,34,46,4,10,,2,4,1,2,1,1,1,0,0,1,1400230,64,58340,184,4800,3805,320,5424,160,72969,20,27198411
09/141,2009-12-01,4,5,10,17,39,44,24,"5,39",,3,3,3,1,0,1,1,1,5000000,1,1406880,80,46895,212,4800,4444,320,7284,160,87841,20,29016142
09/140,2009-11-28,1,5,25,32,38,39,4,1,,4,2,2,0,1,3,0,1,5000000,1,1159890,88,35145,208,4800,4343,320,6254,160,80707,20,25004142
09/139,2009-11-26,1,3,9,17,18,42,7,,,4,2,3,2,0,0,1,2,17964920,12,191960,567,10845,1647,4800,23652,320,34730,160,339280,20,78128031
09/138,2009-11-24,7,21,24,33,35,45,26,45,24,5,1,1,0,2,2,1,0,0,4,751605,212,37815,553,4800,12204,320,16146,160,222381,20,65955252
09/137,2009-11-21,2,8,23,28,38,45,21,45,,2,4,2,0,2,1,1,1,21124030,6,284300,414,10985,380,4800,12872,320,11323,160,172635,20,43896883
09/136,2009-11-19,11,13,19,35,41,45,24,,19,6,0,0,3,0,1,2,0,0,2,856745,110,41535,346,4800,6629,320,9392,160,125836,20,37693803
09/135,2009-11-17,2,4,9,28,42,43,45,"28,42",,2,4,3,0,1,0,2,0,0,0,0,98,39905,229,4800,5321,320,6180,160,105994,20,30841355
09/134,2009-11-14,3,6,15,26,28,42,21,6,,2,4,2,1,2,0,1,0,0,1,1027760,99,27680,253,4800,4992,320,6436,160,91420,20,24443446
09/133,2009-11-12,1,6,9,10,20,46,14,,,2,4,4,1,0,0,1,1,7571125,4,214260,301,9600,445,4800,12319,320,11169,160,161741,20,32141683
09/132,2009-11-10,2,8,18,22,24,35,17,"2,35",,1,5,2,1,2,1,0,0,0,1,953295,177,14360,334,4800,7403,320,7919,160,114870,20,26893255
09/131,2009-11-08,2,17,27,32,35,38,41,,,3,3,1,1,1,3,0,1,9883590,1,1627860,89,48770,215,4800,5285,320,6462,160,104559,20,32914892
09/130,2009-11-05,3,9,13,31,40,42,30,"3,42",,4,2,2,1,0,2,1,0,0,1,1188960,84,38015,257,4800,4647,320,6730,160,84426,20,26289729
09/129,2009-11-03,3,19,33,42,43,45,44,,3,5,1,1,1,0,1,3,1,24323900,5,500245,144,46315,473,4800,10032,320,14075,160,182983,20,55030646
09/128,2009-10-31,11,25,27,29,30,44,23,44,,4,2,0,1,4,0,1,0,0,2,883260,118,40125,537,4800,6963,320,12117,160,125579,20,41106877
09/127,2009-10-29,13,14,15,16,18,44,48,"13,16",,2,4,0,5,0,0,1,0,0,0,0,242,18005,230,4800,5836,320,6125,160,93370,20,32891874
09/126,2009-10-27,13,16,31,35,41,42,36,41,,4,2,0,2,0,2,2,0,0,6,231145,68,54385,176,4800,3786,320,5749,160,71296,20,26967501
09/125,2009-10-24,22,25,26,34,41,45,15,,,3,3,0,0,3,1,2,2,15187950,3,932505,158,47215,437,4800,8508,320,13967,160,163022,20,57055406
09/124,2009-10-22,1,2,24,29,40,47,7,,,3,3,2,0,2,1,1,0,0,5,453485,114,53035,390,4800,7026,320,12448,160,138338,20,47203615
09/123,2009-10-20,8,26,34,36,39,46,35,,,1,5,1,0,1,3,1,0,0,1,1799870,106,45275,258,4800,7199,320,8732,160,129023,20,38343673
09/122,2009-10-18,2,4,15,20,32,42,48,15,,1,5,2,2,0,1,1,0,0,2,796905,103,41260,179,4800,5041,320,6055,160,94452,20,31493587
09/121,2009-10-15,15,17,22,37,39,47,26,15,15,5,1,0,2,1,2,1,0,0,2,647455,75,46040,180,4800,4571,320,6032,160,83805,20,26767829
09/120,2009-10-13,13,15,18,36,43,45,7,,13,4,2,0,3,0,1,2,1,5000000,1,1367820,82,44480,213,4800,4538,320,7392,160,84767,20,28469081
09/119,2009-10-10,2,12,16,19,20,49,4,,,2,4,1,4,0,0,1,1,16868270,2,897615,109,43920,362,4800,6772,320,10018,160,121929,20,39070225
09/118,2009-10-08,21,31,33,35,39,44,28,,,5,1,0,0,1,4,1,0,0,7,244775,99,46150,280,4800,5634,320,7779,160,97757,20,34998790
09/117,2009-10-06,12,15,17,24,36,49,14,,,3,3,0,3,1,1,1,0,0,0,0,91,39330,199,4800,5088,320,7258,160,94247,20,28634713
09/116,2009-10-03,4,6,11,16,22,39,10,,,2,4,2,2,1,1,0,1,5000000,1,1015455,158,17135,445,4800,7162,320,11494,160,116589,20,29699995
09/115,2009-09-29,1,5,15,33,40,48,21,1,,4,2,2,1,0,2,1,1,30628460,5,708560,237,39860,645,4800,13857,320,17597,160,255205,20,76675076
09/114,2009-09-27,1,3,9,30,41,47,19,9,,5,1,3,0,1,0,2,1,5000000,2,575750,55,55830,264,4800,4243,320,7912,160,91161,20,26207558
09/113,2009-09-24,9,19,22,26,34,36,24,9,,2,4,1,1,2,2,0,1,13320465,7,221930,119,34810,487,4800,7480,320,11745,160,136919,20,38392456
09/112,2009-09-22,1,5,9,18,24,32,38,,,3,3,3,1,1,1,0,0,0,8,152490,223,14640,428,4800,9399,320,10203,160,150222,20,34509834
